EventID,Title,Type,Organizer,Date,Location,Description,Agenda
1,AI Bootcamp 2024,Bootcamp,Tech Innovators Club,2024-01-10,Tech Hall,"A beginner-friendly bootcamp focused on machine learning and computer vision.","Day 1: ML Basics; Day 2: CV Hands-on; Day 3: Mini Project"
2,Winter Hackathon,Hackathon,Tech Innovators Club,2024-01-20,Engineering Lab,"A 24-hour hackathon open to all majors.","08:00 Kickoff; 12:00 Coding; 20:00 Presentations"
3,Deep Learning Conference,Conference,Tech Innovators Club,2024-02-02,Auditorium A,"Talks from industry engineers on deep learning trends.","Speakers; Breakout sessions; Networking"
4,Open Door Tech Day,Open Door Day,Tech Innovators Club,2024-02-15,Club Space,"Visitors can explore club projects and meet members.","Guided tours; Live demos; Q&A"
5,Robotics Workshop,Workshop,Tech Innovators Club,2024-02-25,Lab B,"Hands-on introduction to building small autonomous robots.","Robot assembly; Line following; Testing"
6,Web Dev Bootcamp,Bootcamp,Tech Innovators Club,2024-03-01,Tech Hall,"A 5-day camp focused on modern web development.","HTML/CSS; JS; React; Deployment"
7,Spring Hackathon,Hackathon,Tech Innovators Club,2024-03-10,Engineering Lab,"A themed hackathon focusing on sustainability solutions.","Team formation; Coding; Pitching"
8,Cloud Computing Seminar,Seminar,Tech Innovators Club,2024-03-25,Auditorium B,"Introduction to cloud platforms and deployments.","AWS basics; Demo; Q&A"
9,Tech Recruitment Day,Recruitment Day,Tech Innovators Club,2024-04-01,Club Space,"Meet club members and learn about joining opportunities.","Club intro; Task previews; Registration"
10,GameDev Workshop,Workshop,Tech Innovators Club,2024-04-12,Lab C,"Build simple 2D games using Unity.","Unity basics; Asset creation; Gameplay logic"
11,Python Bootcamp,Bootcamp,Tech Innovators Club,2024-04-20,Tech Hall,"A bootcamp covering Python foundations.","Syntax; Libraries; Mini Projects"
12,AI Ethics Conference,Conference,Tech Innovators Club,2024-05-02,Auditorium A,"A conference about fairness, bias and safe AI principles.","Talks; Panel discussion; Case studies"
13,Robotics Competition,Competition,Tech Innovators Club,2024-05-10,Gym Hall,"Teams compete in a track-navigation robotics challenge.","Setup; Trials; Finals"
14,Data Science Workshop,Workshop,Tech Innovators Club,2024-05-18,Lab D,"Introductory workshop for beginners in data science.","Pandas; Visualization; Data cleaning"
15,Summer Hackathon,Hackathon,Tech Innovators Club,2024-05-30,Engineering Lab,"A hackathon focused on smart campus solutions.","Mentoring; Coding; Pitching"
16,AR/VR Open Day,Open Door Day,Tech Innovators Club,2024-06-05,Club Space,"Demo of AR/VR club projects.","VR games; AR apps; Motion tracking"
17,Mobile App Bootcamp,Bootcamp,Tech Innovators Club,2024-06-15,Tech Hall,"Training on building mobile apps using Flutter.","UI basics; State management; API integration"
18,Cybersecurity Conference,Conference,Tech Innovators Club,2024-06-25,Auditorium C,"Talks about ethical hacking and cybersecurity threats.","Attack vectors; Defense tools; Workshops"
19,AI Study Jam,Workshop,Tech Innovators Club,2024-06-28,Lab B,"A mini session to practice ML models.","Regression; Classification; Exercises"
20,IoT Workshop,Workshop,Tech Innovators Club,2024-07-01,Lab E,"Learn fundamentals of IoT with Raspberry Pi.","Sensors; Control; Cloud logging"
21,Tech Career Day,Recruitment Day,Tech Innovators Club,2024-07-10,Club Space,"Students explore career paths in tech industries.","Talks; CV help; Clubs info"
22,Machine Learning Bootcamp,Bootcamp,Tech Innovators Club,2024-07-20,Tech Hall,"A fast-paced ML course for beginners.","Supervised ML; Metrics; Mini project"
23,Robotics Open Lab,Open Door Day,Tech Innovators Club,2024-07-30,Lab A,"Open lab day showcasing robotics builds.","Demos; Testing; Team Q&A"
24,AI for Everyone Seminar,Seminar,Tech Innovators Club,2024-08-01,Auditorium B,"Simple intro to AI for non-tech students.","History; Examples; Ethical issues"
25,CV Hands-On Day,Workshop,Tech Innovators Club,2024-08-10,Lab F,"Learn how to implement computer vision tasks.","Object detection; Filters; Segmentation"
26,Autumn Hackathon,Hackathon,Tech Innovators Club,2024-08-25,Engineering Lab,"A themed hackathon focusing on social good.","Team building; Coding; Final pitches"
27,Tech Innovators Meetup,Meetup,Tech Innovators Club,2024-09-01,Club Lounge,"Networking event for current and new members.","Icebreakers; Team showcase"
28,Blockchain Seminar,Seminar,Tech Innovators Club,2024-09-05,Auditorium A,"Basics of blockchain, smart contracts and use cases.","Architecture; Examples; Discussion"
29,AI Robotics Bootcamp,Bootcamp,Tech Innovators Club,2024-09-15,Tech Hall,"A fusion bootcamp of AI + robotics.","Autonomy; Sensors; ML integration"
30,Freshers Open Day,Open Door Day,Tech Innovators Club,2024-09-25,Club Space,"New students explore club initiatives.","Tours; Demos; Signups"
31,Beginner Coding Workshop,Workshop,Tech Innovators Club,2024-10-01,Lab B,"A gentle introduction to coding using Python.","Variables; Loops; Practice"
32,Vision Conference,Conference,Tech Innovators Club,2024-10-10,Auditorium C,"Talks on computer vision breakthroughs.","Speakers; Panels; Networking"
33,Green Tech Hackathon,Hackathon,Tech Innovators Club,2024-10-20,Engineering Lab,"Build eco-friendly tech solutions.","Idea stage; Coding; Judging"
